SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHvh3/101b,Pl,16
CWHvm1/13,Yc,8
CWHvm1/14,Cw,19.36384605
CWHvm1/14,Hw,20.95
CWHvm1/14,Ss,25.97249937
CWHvm2/01,Ba,25.67874956
CWHvm2/01,Cw,20
CWHvm2/01,Hw,24
CWHvm2/01,Hw,28
CWHvm2/01,Ss,20
CWHvm2/01,Yc,20
CWHvm2/02,Cw,8
CWHvm2/02,Fd,8
CWHvm2/02,Hw,8
CWHvh3/101c,Pl,16
CWHvh3/115,Pl,16
CWHvm2/02,Yc,8
CWHvm2/03,Ba,16
CWHvm2/03,Cw,16
CWHvm2/03,Fd,24
CWHvm2/03,Hw,16
CWHvm1/02,Pl,12
CWHvm1/03,Pl,16
CWHvm2/03,Yc,16
CWHvm2/04,Ba,20
CWHvm2/04,Cw,20
CWHvm2/04,Fd,24
CWHvm2/04,Hw,24
CWHvm2/04,Ss,24
CWHvm2/04,Yc,20
CWHvm2/05,Ba,28
CWHvm2/05,Cw,24
CWHvm2/05,Hw,28
CWHvm2/05,Ss,24
CWHvm2/05,Yc,24
CWHvm2/06,Ba,24
CWHvm2/06,Cw,20
CWHvm2/06,Hw,24
CWHvm2/06,Ss,24
CWHvm2/06,Yc,20
CWHvm2/07,Ba,28
CWHvm2/07,Cw,24
CWHvm2/07,Hw,28
CWHvm2/07,Ss,28
CWHvm2/07,Yc,24
CWHvm2/08,Ba,28
CWHvm2/08,Cw,24
CWHvm2/08,Hw,28
CWHvm2/08,Ss,28
CWHvm2/08,Yc,24
CWHvm2/09,Cw,12
CWHvm2/09,Hm,12
CWHvm2/09,Hw,12
CWHvm1/12,Pl,16
CWHvm1/13,Pl,12
CWHvm2/09,Yc,12
CWHvm2/02,Pl,12
CWHvm2/10,Yc,8
CWHvm2/11,Cw,16
CWHvm2/11,Hm,16
CWHvm2/11,Hw,16
CWHvm2/11,Ss,20
CWHvm2/11,Yc,16
CWHwh1/01,Cw,21.44266675
CWHwh1/01,Hw,22.85272737
CWHwh1/01,Ss,29.18027772
CWHwh1/02,Cw,20
CWHwh1/02,Hw,23.93857166
CWHvm2/03,Pl,20
CWHwh1/02,Ss,27.85000003
CWHwh1/03,Cw,20
CWHwh1/03,Hw,26.92250037
CWHwh1/03,Ss,29.70838701
CWHwh1/04,Cw,16
CWHwh1/04,Hw,24
CWHwh1/04,Ss,24
CWHwh1/05,Cw,20
CWHwh1/05,Hw,28
CWHwh1/05,Ss,35.35093743
CWHwh1/06,Cw,20
CWHwh1/06,Hw,20
CWHwh1/06,Ss,28.51363633
CWHwh1/07,Cw,20
CWHwh1/07,Hw,28
CWHwh1/07,Ss,36
CWHwh1/08,Cw,12
CWHwh1/08,Ss,32
CWHwh1/10,Cw,12
CWHwh1/10,Hw,16
CWHwh1/10,Ss,31.5787499
CWHwh1/10,Yc,16
CWHwh1/101,Cw,20
CWHwh1/101,Hw,24
CWHwh1/101,Ss,28
CWHwh1/102,Cw,20
CWHwh1/102,Hw,24
CWHwh1/102,Ss,28
CWHwh1/103,Cw,12
CWHwh1/103,Hw,12
CWHwh1/103,Ss,16
CWHwh1/104,Cw,16
CWHwh1/104,Hw,16
CWHwh1/104,Ss,20
CWHwh1/105,Cw,24
CWHwh1/105,Hw,28
CWHwh1/105,Ss,28
CWHwh1/11,Cw,8
CWHwh1/11,Yc,8
CWHwh1/110,Cw,20
CWHwh1/110,Hw,20
CWHvm2/09,Pl,12
CWHwh1/110,Ss,16
CWHwh1/111,Cw,24
CWHwh1/111,Hw,28
CWHwh1/111,Ss,36
CWHwh1/112,Cw,24
CWHwh1/112,Hw,28
CWHwh1/112,Ss,32
CWHwh1/113,Cw,24
CWHwh1/113,Hw,28
CWHwh1/113,Ss,32
CWHwh1/115,Cw,12
CWHwh1/115,Hw,12
CWHwh1/115,Yc,12
CWHwh1/116,Cw,20
CWHwh1/116,Hw,24
CWHwh1/116,Ss,28
CWHwh1/117,Cw,16
CWHwh1/117,Ss,20
CWHwh1/118,Cw,16
CWHwh1/118,Hw,16
CWHwh1/118,Ss,16
CWHwh1/12,Cw,12
CWHwh1/12,Hw,16
CWHwh1/13,Cw,8
CWHwh1/13,Hw,12
CWHwh1/13,Ss,16
CWHwh1/14,Cw,16
CWHwh1/14,Hw,20
CWHwh1/14,Ss,24
CWHwh1/15,Cw,16
CWHwh1/15,Hw,20
CWHvm2/10,Pl,12
CWHwh1/15,Ss,24
CWHwh1/16,Cw,20
CWHwh1/16,Hw,28
CWHwh1/16,Ss,36
CWHwh1/17,Ss,36
CWHwh2/01,Cw,16
CWHwh2/01,Hw,20
CWHwh2/01,Ss,24
CWHwh2/01,Yc,16
CWHwh2/02,Cw,16
CWHwh2/02,Hm,12
CWHwh2/02,Hw,16
CWHwh2/02,Yc,16
