"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"NPSP071","1",0,1,"Hw",17.40000,15.00000,16.10000,,61,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP071","1",0,2,"Sx",27.60000,30.00000,24.60000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP071","1",0,3,"Fd",44.40000,45.00000,28.20000,,60,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP072","1",0,1,"Bl",24.20000,30.00000,29.90000,,94,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp30","1",0,1,"At",19.70000,15.00000,17.30000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP074","1",0,1,"Fd",25.10000,30.00000,17.70000,,34,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03010","1",0,2,"Se",25.30000,30.00000,21.50000,,86,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03011","1",0,1,"Bl",32.40000,30.00000,30.90000,,107,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03011","1",0,2,"Se",29.60000,30.00000,27.60000,,92,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03011","1",0,3,"Hw",30.50000,30.00000,24.80000,,105,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03012","1",0,1,"Bl",30.50000,30.00000,27.20000,,107,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03012","1",0,2,"Pl",22.50000,15.00000,20.30000,,91,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03013","1",0,1,"Hw",15.40000,15.00000,9.050000,,24,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03013","1",0,2,"Pl",16.10000,15.00000,10.90000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03013","1",0,3,"Bl",21.40000,15.00000,14.20000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03014","1",0,1,"Pl",27.10000,30.00000,23.70000,,105,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03014","1",0,2,"Fd",28.30000,30.00000,24.50000,,101,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03015","1",0,1,"Fd",17.20000,15.00000,11.70000,,19,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03015","1",0,2,"Lw",13.20000,15.00000,11.30000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03016","1",0,1,"Lw",15.80000,15.00000,15.70000,,21,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03016","1",0,2,"Pl",13.50000,15.00000,13.30000,,21,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03017","1",0,1,"Fd",38.70000,45.00000,27.90000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03017","1",0,2,"Sx",29.60000,30.00000,27.00000,,74,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03017","1",0,3,"Hw",29.80000,30.00000,27.25000,,69,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"439Asu","1",0,1,"Cw",34.40000,30.00000,26.10000,,74,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03020","1",0,1,"Sx",27.20000,30.00000,27.20000,,74,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03020","1",0,2,"Pw",29.10000,30.00000,27.90000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"447Asu","1",0,1,"Lw",36.40000,30.00000,31.60000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03022","1",0,1,"Se",15.80000,15.00000,10.00000,,26,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03022","1",0,2,"Fd",9.300000,15.00000,6.600000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"616Asu","1",0,1,"Lw",14.60000,15.00000,9.600000,,29,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03023","1",0,1,"Hw",12.20000,15.00000,8.100000,,30,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03024","1",0,1,"Hw",7.200000,0.0000000,5.800000,,15,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03025","1",0,1,"Fd",19.20000,15.00000,13.20000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03026","1",0,1,"Hw",14.00000,15.00000,9.900000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03027","1",0,1,"Hw",8.400000,15.00000,6.350000,,20,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03028","1",0,1,"Bl",19.10000,15.00000,18.40000,,92,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03029","1",0,1,"Bl",35.50000,30.00000,24.50000,,101,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03029","1",0,2,"Hw",36.20000,30.00000,26.80000,,80,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN03030","1",0,1,"Pl",34.20000,30.00000,24.00000,,95,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
